t,v(t) [cube 1],x(t) [cube 1],F(t) [cube 1],v(t) [cube 2],x(t) [cube 2],F(t) [cube 2],distance
0.02,3,-6,3,0,-2,0,3
0.04,3,-5.94,3,0,-2,3.129244E-07,2.94
0.06,3,-5.88,3,0,-2,1.341105E-07,2.88
0.08,3,-5.82,3,0,-2,4.470348E-08,2.82
0.09999999,3,-5.76,3,0,-2,5.960464E-08,2.76
0.12,3,-5.7,3,0,-2,2.533197E-07,2.7
0.14,3,-5.64,3,0,-2,5.960464E-08,2.64
0.16,3,-5.58,3,0,-2,5.960464E-08,2.58
0.18,3,-5.52,3,0,-2,2.235174E-07,2.52
0.2,3,-5.460001,3,0,-2,5.960464E-08,2.460001
0.22,3,-5.400001,3,0,-2,2.533197E-07,2.400001
0.24,3,-5.340001,3,0,-2,2.980232E-08,2.340001
0.26,3,-5.280001,3,0,-2,4.470348E-08,2.280001
0.28,3,-5.220001,3,0,-2,5.960464E-08,2.220001
0.3,3,-5.160001,3,0,-2,2.533197E-07,2.160001
0.32,3,-5.100001,3,0,-2,5.960464E-08,2.100001
0.34,3,-5.040001,3,0,-2,2.533197E-07,2.040001
0.36,3,-4.980001,3,0,-2,5.960464E-08,1.980001
0.38,2.996,-4.920081,2.996,0.001999903,-1.99996,0.001999903,1.920121
0.4,2.980025,-4.860481,2.980025,0.009987783,-1.99976,0.009987783,1.860721
0.42,2.952169,-4.801437,2.952169,0.02391572,-1.999282,0.02391572,1.802155
0.4400001,2.9126,-4.743186,2.9126,0.04370017,-1.998408,0.04370017,1.744778
0.4600001,2.861555,-4.685955,2.861555,0.06922241,-1.997023,0.06922241,1.688931
0.4800001,2.799342,-4.629968,2.799342,0.1003293,-1.995017,0.1003293,1.634951
0.5000001,2.726332,-4.575441,2.726332,0.1368342,-1.99228,0.1368342,1.583161
0.52,2.642964,-4.522582,2.642964,0.1785181,-1.98871,0.1785181,1.533872
0.54,2.549738,-4.471587,2.549738,0.2251309,-1.984207,0.2251309,1.48738
0.56,2.447214,-4.422642,2.447214,0.276393,-1.978679,0.276393,1.443963
0.58,2.336007,-4.375922,2.336007,0.3319967,-1.972039,0.3319967,1.403883
0.6,2.216784,-4.331586,2.216784,0.3916084,-1.964207,0.3916084,1.367379
0.6199999,2.090259,-4.289781,2.090259,0.4548705,-1.95511,0.4548705,1.334671
0.6399999,1.957194,-4.250637,1.957194,0.5214034,-1.944682,0.5214034,1.305955
0.6599999,1.818385,-4.214269,1.818385,0.5908079,-1.932866,0.5908079,1.281404
0.6799999,1.674665,-4.180776,1.674665,0.6626675,-1.919612,0.6626675,1.261163
0.6999999,1.526898,-4.150238,1.526898,0.7365512,-1.904881,0.7365512,1.245356
0.7199998,1.375969,-4.122718,1.375969,0.8120155,-1.888641,0.8120155,1.234078
0.7399998,1.222785,-4.098263,1.222785,0.8886078,-1.870869,0.8886078,1.227394
0.7599998,1.068264,-4.076898,1.068264,0.9658684,-1.851551,0.9658684,1.225346
0.7799998,1.043334,-4.058631,1.043334,1.043334,-1.830685,1.043334,1.227946
0.7999998,1.120539,-4.040853,1.120539,1.120539,-1.808274,1.120539,1.232579
0.8199998,1.120539,-4.018442,1.120539,1.120539,-1.785863,1.120539,1.232579
0.8399997,1.120539,-3.996031,1.120539,1.120539,-1.763452,1.120539,1.232579
0.8599997,1.120539,-3.97362,1.120539,1.120539,-1.741042,1.120539,1.232578
