t,F(t) [cube 1],x(t) [cube 1]
0.02,0.8738265,-2.011605
0.04,0.8728597,-2.029062
0.06,0.8718928,-2.046499
0.08,0.8709258,-2.063917
0.09999999,0.8699589,-2.081315
0.12,0.868992,-2.098692
0.14,0.8680251,-2.116048
0.16,0.8670581,-2.133384
0.18,0.8660911,-2.150699
0.2,0.865124,-2.167993
0.22,0.864157,-2.185266
0.24,0.8631899,-2.202517
0.26,0.8622229,-2.219747
0.28,0.8612558,-2.236954
0.3,0.8602887,-2.25414
0.32,0.8593217,-2.271303
0.34,0.8583545,-2.288444
0.36,0.8573873,-2.305562
0.38,0.8564202,-2.322657
0.4,0.855453,-2.339729
0.42,0.8544858,-2.356777
0.4400001,0.8535186,-2.373803
0.4600001,0.8525513,-2.390804
0.4800001,0.8515841,-2.407782
0.5000001,0.8506168,-2.424736
0.52,0.8496495,-2.441666
0.54,0.8486822,-2.458571
0.56,0.8477149,-2.475452
0.58,0.8467475,-2.492308
0.6,0.8457802,-2.509139
0.6199999,0.8448128,-2.525945
0.6399999,0.8438454,-2.542726
0.6599999,0.842878,-2.559482
0.6799999,0.8419106,-2.576212
0.6999999,0.8409432,-2.592916
0.7199998,0.8399757,-2.609594
0.7399998,0.8390082,-2.626247
0.7599998,0.8380407,-2.642873
0.7799998,0.8370733,-2.659472
0.7999998,0.8361058,-2.676046
0.8199998,0.8351382,-2.692592
0.8399997,0.8341706,-2.709112
0.8599997,0.8332031,-2.725604
0.8799997,0.8322355,-2.742069
0.8999997,0.8312679,-2.758507
0.9199997,0.8303003,-2.774918
0.9399996,0.8293326,-2.7913
0.9599996,0.828365,-2.807655
0.9799996,0.8273973,-2.823982
0.9999996,0.8264296,-2.840281
1.02,0.8254619,-2.856552
1.04,0.8244942,-2.872794
1.06,0.8235265,-2.889008
1.08,0.8225588,-2.905193
1.1,0.821591,-2.921349
1.12,0.8206232,-2.937476
1.14,0.8196554,-2.953574
1.159999,0.8186877,-2.969643
1.179999,0.8177198,-2.985682
1.199999,0.816752,-3.001692
1.219999,0.8157842,-3.017673
1.239999,0.8148164,-3.033623
1.259999,0.8138484,-3.049544
1.279999,0.8128805,-3.065434
1.299999,0.8119127,-3.081295
1.319999,0.8109447,-3.097125
1.339999,0.8099768,-3.112924
1.359999,0.8090088,-3.128693
1.379999,0.8080409,-3.144432
1.399999,0.8070729,-3.16014
1.419999,0.8061049,-3.175816
1.439999,0.8051369,-3.191462
1.459999,0.8041688,-3.207077
1.479999,0.8032008,-3.22266
1.499999,0.8022327,-3.238212
1.519999,0.8012646,-3.253732
1.539999,0.8002965,-3.269221
1.559999,0.7993284,-3.284678
1.579999,0.7983603,-3.300103
1.599999,0.7973921,-3.315496
1.619999,0.796424,-3.330857
1.639999,0.7954558,-3.346186
1.659999,0.7944877,-3.361483
1.679999,0.7935195,-3.376747
1.699999,0.7925513,-3.391979
1.719999,0.7915831,-3.407178
1.739999,0.7906148,-3.422344
1.759999,0.7896466,-3.437478
1.779999,0.7886783,-3.452579
1.799999,0.7877101,-3.467647
1.819999,0.7867417,-3.482681
1.839999,0.7857734,-3.497683
1.859999,0.7848051,-3.512651
1.879999,0.7838367,-3.527586
1.899999,0.7828684,-3.542487
1.919999,0.7819,-3.557355
1.939999,0.7809316,-3.572189
1.959999,0.7799632,-3.58699
1.979999,0.7789948,-3.601756
1.999999,0.7780264,-3.616489
2.019999,0.7770579,-3.631188
2.039999,0.7760895,-3.645853
2.059999,0.7751211,-3.660483
2.079999,0.7741526,-3.675079
2.099999,0.7731841,-3.689641
2.119999,0.7722156,-3.704169
2.139999,0.7712471,-3.718662
2.159999,0.7702785,-3.73312
2.179999,0.76931,-3.747544
2.199999,0.7683414,-3.761933
2.219999,0.7673728,-3.776288
2.239999,0.7664042,-3.790607
2.259999,0.7654356,-3.804892
2.279999,0.764467,-3.819141
2.299999,0.7634984,-3.833356
2.319999,0.7625297,-3.847535
2.339998,0.761561,-3.861679
2.359998,0.7605924,-3.875788
2.379998,0.7596237,-3.889862
2.399998,0.758655,-3.9039
2.419998,0.7576863,-3.917903
2.439998,0.7567176,-3.93187
2.459998,0.7557489,-3.945801
2.479998,0.7547801,-3.959697
2.499998,0.7538114,-3.973558
2.519998,0.7528425,-3.987382
2.539998,0.7518738,-4.001171
2.559998,0.750905,-4.014924
2.579998,0.7499362,-4.02864
2.599998,0.7489673,-4.042321
