t,x_x(t) [cube 2],x_y(t) [cube 2],x_z(t) [cube 2],F(t) [cube 2]
0.02,3.835545,0.5,1.916731E-07,2.102437
0.04,3.877806,0.5,1.924008E-07,2.113057
0.06,3.92016,0.5,1.93105E-07,2.117722
0.08,3.962514,0.5,1.937885E-07,2.117722
0.09999999,4.004869,0.5,1.944445E-07,2.117722
0.12,4.047224,0.5,1.950896E-07,2.117722
0.14,4.089578,0.5,1.957449E-07,2.117722
0.16,4.131933,0.5,1.964255E-07,2.117722
0.18,4.174287,0.5,1.971373E-07,2.117722
0.2,4.216642,0.5,1.978735E-07,2.117722
0.22,4.258996,0.5,1.986299E-07,2.117722
0.24,4.301351,0.5,1.994106E-07,2.117722
0.26,4.343706,0.5,2.001894E-07,2.117722
0.28,4.38606,0.5,2.009595E-07,2.117722
0.3,4.428415,0.5,2.016932E-07,2.117722
0.32,4.470769,0.5,2.023991E-07,2.117722
0.34,4.513124,0.5,2.030833E-07,2.117722
0.36,4.555479,0.5,2.037565E-07,2.117722
0.38,4.597833,0.5,2.044179E-07,2.117722
0.4,4.640188,0.5,2.050951E-07,2.117722
0.42,4.682542,0.5,2.05801E-07,2.117722
0.4400001,4.724897,0.5,2.064713E-07,2.117722
0.4600001,4.767251,0.5,2.071394E-07,2.117722
0.4800001,4.809606,0.5,2.078392E-07,2.117722
0.5000001,4.851961,0.5,2.085186E-07,2.117722
0.52,4.894315,0.5,2.092213E-07,2.117722
0.54,4.93667,0.5,2.099157E-07,2.117722
0.56,4.979024,0.5,2.106026E-07,2.117722
0.58,5.021379,0.5,2.112899E-07,2.117722
0.6,5.063734,0.5000001,2.119716E-07,2.117722
0.6199999,5.106088,0.5000001,2.12677E-07,2.117722
0.6399999,5.148443,0.5000001,2.133674E-07,2.117722
0.6599999,5.190797,0.5,2.140404E-07,2.117722
0.6799999,5.233152,0.5,2.147025E-07,2.117722
0.6999999,5.275506,0.5,2.153848E-07,2.117722
0.7199998,5.317861,0.5,2.160395E-07,2.117722
0.7399998,5.360216,0.5,2.167072E-07,2.117722
0.7599998,5.40257,0.5,2.17359E-07,2.117722
0.7799998,5.444925,0.5,2.180056E-07,2.117722
0.7999998,5.487279,0.5,2.186541E-07,2.117722
0.8199998,5.529634,0.5,2.192911E-07,2.117722
0.8399997,5.571989,0.5,2.199022E-07,2.117722
0.8599997,5.614343,0.5,2.205627E-07,2.117722
0.8799997,5.656698,0.5,2.212137E-07,2.117722
0.8999997,5.699052,0.5,2.218499E-07,2.117722
0.9199997,5.741407,0.5,2.224717E-07,2.117722
0.9399996,5.783762,0.5,2.231015E-07,2.117722
0.9599996,5.826116,0.5,2.237401E-07,2.117722
0.9799996,5.868471,0.5,2.243756E-07,2.117722
0.9999996,5.910825,0.5,2.250241E-07,2.117722
